lnp_id,bioactivity_profile,Bio_InVitro_Log2,Bio_InVivo_Flux,Extracted_raw_expression,Extracted_bio_type,Extracted_numeric_value,Extracted_invitro_log2,Extracted_invivo_value,Extracted_Bio_Ordinal_Class
123,"cell_line: HeLa cells; animal_model: CD-1 mice, Sprague-Dawley rats, cynomolgus monkeys; administration_route: i.v.; dose: 0.5 mg/kg (mice), 0.3 mg/kg (rats); gene_expression_result: control reference; biodistribution_result: liver and spleen contained largest concentrations; toxicity_profile: ALT and AST elevation at 0.3 mg/kg, pathology showed evidence of necrosis",,,control reference,qualitative,,,,
140,"animal_model: C57BL/6J, SpCas9 constitutive mice; administration_route: IV (intravenous); dose: 1.0 mg/kg sgRNA, 1.5 mg/kg siRNA; gene_expression_result: 41% GFP editing in liver endothelial cells, 74% ICAM-2 knockdown; biodistribution_result: 3X more efficient delivery to liver endothelial cells vs hepatocytes; toxicity_profile: Mice gained weight normally, normalized weight 60-140% over 5 days",,,"41% GFP editing in liver endothelial cells, 74% ICAM-2 knockdown",percentage,41.0,,,2.0
141,"animal_model: C57BL/6J, SpCas9 constitutive mice; administration_route: IV (intravenous); dose: 1.0 mg/kg sgRNA, 1.5 mg/kg siRNA; gene_expression_result: 31% GFP editing in liver endothelial cells, 75% ICAM-2 knockdown; biodistribution_result: Less specific targeting compared to oleate LNP; toxicity_profile: Mice gained weight normally, normalized weight 60-140% over 5 days",,,"31% GFP editing in liver endothelial cells, 75% ICAM-2 knockdown",percentage,31.0,,,2.0
142,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
143,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
144,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
145,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
146,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
147,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
148,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
149,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
150,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
151,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
152,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
153,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
154,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
155,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
156,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
157,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
158,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
159,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
160,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
161,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
162,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
163,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
164,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
165,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
166,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
167,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
168,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
169,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
170,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
171,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: Low efficacy (<50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,Low efficacy (<50% gene silencing),percentage,50.0,,,2.0
172,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
173,cell_line: HeLa cells (dual luciferase); animal_model: C57BL/6 mice; administration_route: IV; dose: 1 mg/kg siRNA; gene_expression_result: High efficacy (>50% gene silencing); biodistribution_result: hepatocyte-specific delivery; toxicity_profile: Non-toxic at tested doses,,,High efficacy (>50% gene silencing),percentage,50.0,,,2.0
175,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~1.0 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~1.0 fold vs TT3 in liver,fold_change,1.0,,,1.0
176,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~1.3 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~1.3 fold vs TT3 in liver,fold_change,1.3,,,1.0
177,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~1.0 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~1.0 fold vs TT3 in liver,fold_change,1.0,,,1.0
178,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~0.9 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~0.9 fold vs TT3 in liver,fold_change,0.9,,,0.0
179,"cell_line: Hep3B; animal_model: C57BL/6 mice, hemophilia A mice, Balb/c mice; administration_route: IV; dose: 0.5 mg/kg (screening), 2 mg/kg (hFVIII), 0.125-1 mg/kg (base editing); gene_expression_result: ~2.0 fold vs TT3 in liver, >140 ng/ml hFVIII protein, 90% hFVIII activity, ~60% base editing efficiency; biodistribution_result: Primarily liver targeting; toxicity_profile: Well tolerated, no pathological changes",,,"~2.0 fold vs TT3 in liver, >140 ng/ml hFVIII protein, 90% hFVIII activity, ~60% base editing efficiency",fold_change,2.0,,,2.0
180,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~0.7 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~0.7 fold vs TT3 in liver,fold_change,0.7,,,0.0
181,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~1.0 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~1.0 fold vs TT3 in liver,fold_change,1.0,,,1.0
182,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~1.1 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~1.1 fold vs TT3 in liver,fold_change,1.1,,,1.0
183,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~0.2 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~0.2 fold vs TT3 in liver,fold_change,0.2,,,0.0
184,"cell_line: Hep3B; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.5 mg/kg; gene_expression_result: ~0.1 fold vs TT3 in liver; biodistribution_result: Liver, spleen, lung, kidney, heart",,,~0.1 fold vs TT3 in liver,fold_change,0.1,,,0.0
185,cell_line: Neuro2A-G cells (luciferase-expressing); administration_route: in vitro; dose: 0.0625-1.0 Â¥Ã¬g/mL siRNA; gene_expression_result: No significant luciferase knockdown,,,No significant luciferase knockdown,qualitative,,,,3.0
186,cell_line: Neuro2A-G cells (luciferase-expressing); administration_route: in vitro; dose: 0.0625-1.0 Â¥Ã¬g/mL siRNA; gene_expression_result: ~54% luciferase expression (46% knockdown) at 1.0 Â¥Ã¬g/mL,,,~54% luciferase expression (46% knockdown) at 1.0 Â¥Ã¬g/mL,percentage,54.0,,,2.0
187,cell_line: Neuro2A-G cells (luciferase-expressing); administration_route: in vitro; dose: 0.0625-1.0 Â¥Ã¬g/mL siRNA; gene_expression_result: ~21% luciferase expression (79% knockdown) at 1.0 Â¥Ã¬g/mL,,,~21% luciferase expression (79% knockdown) at 1.0 Â¥Ã¬g/mL,percentage,21.0,,,1.0
188,cell_line: Neuro2A-G cells (luciferase-expressing); administration_route: in vitro; dose: 0.0625-1.0 Â¥Ã¬g/mL siRNA; gene_expression_result: ~32% luciferase expression (68% knockdown) at 1.0 Â¥Ã¬g/mL,,,~32% luciferase expression (68% knockdown) at 1.0 Â¥Ã¬g/mL,percentage,32.0,,,2.0
189,"cell_line: HeLa, primary embryonic mesenchyme cells; animal_model: white leghorn chicken embryos; administration_route: microinjection into limb bud; dose: 0.75-40 Â¥Ã¬g/ml pDNA; gene_expression_result: 85-90% transfection efficiency, highest in vivo; biodistribution_result: limb bud, penetration into chondrogenic condensations; toxicity_profile: >85% cell viability, superior to Lipofectamine (33%)",,,"85-90% transfection efficiency, highest in vivo",percentage,90.0,,,3.0
190,"cell_line: HeLa, HepG2, PC12, MCF7, Hep3B, MDA-231, JHOC-9, primary embryonic mesenchyme cells; animal_model: white leghorn chicken embryos; administration_route: microinjection into limb bud; dose: 0.75-6.0 Â¥Ã¬g/ml pDNA (in vitro), 10 Â¥Ã¬g/ml pDNA (in vivo); gene_expression_result: 3-fold enhancement vs DSPC with DLin-KC2-DMA; biodistribution_result: limb bud transfection; toxicity_profile: >85% cell viability",,,3-fold enhancement vs DSPC with DLin-KC2-DMA,fold_change,3.0,,,2.0
191,"cell_line: HeLa, HepG2, PC12, MCF7, Hep3B, MDA-231, JHOC-9, primary embryonic mesenchyme cells; animal_model: white leghorn chicken embryos; administration_route: microinjection into limb bud; dose: 0.75-6.0 Â¥Ã¬g/ml pDNA (in vitro), 10 Â¥Ã¬g/ml pDNA (in vivo); gene_expression_result: 4-fold enhancement vs DSPC, >50-fold vs MC3+DSPC combination; biodistribution_result: limb bud transfection; toxicity_profile: >85% cell viability",,,"4-fold enhancement vs DSPC, >50-fold vs MC3+DSPC combination",fold_change,4.0,,,2.0
192,cell_line: HeLa; dose: 0.75-6.0 Â¥Ã¬g/ml pDNA; gene_expression_result: baseline for KC2-DMA comparisons,,,baseline for KC2-DMA comparisons,qualitative,,,,
193,"cell_line: human whole blood assay; animal_model: CD-1 mice, C57BL/6 mice, apoE-/- mice; administration_route: intravenous; dose: 0.01-10 mg/kg siRNA; gene_expression_result: ~50% FVII protein reduction at 0.03 mg/kg; biodistribution_result: hepatic targeting via ApoE-mediated mechanism; toxicity_profile: elevated cytokines (G-CSF, IP-10, KC, MCP-1) at 3-6 hours; cytokine_response: highest cytokine induction among tested formulations",,,~50% FVII protein reduction at 0.03 mg/kg,percentage,50.0,,,2.0
194,"cell_line: human whole blood assay; animal_model: CD-1 mice, C57BL/6 mice, apoE-/- mice; administration_route: intravenous; dose: 0.01-10 mg/kg siRNA; gene_expression_result: ~25% FVII protein reduction at 0.1 mg/kg; biodistribution_result: reduced hepatic targeting, lower ApoE binding affinity; toxicity_profile: moderate cytokine elevation; cytokine_response: intermediate cytokine induction",,,~25% FVII protein reduction at 0.1 mg/kg,percentage,25.0,,,1.0
195,"cell_line: human whole blood assay; animal_model: CD-1 mice, C57BL/6 mice, apoE-/- mice; administration_route: intravenous; dose: 0.01-10 mg/kg siRNA; gene_expression_result: minimal FVII protein reduction even at 0.3 mg/kg; biodistribution_result: very low hepatic targeting, minimal ApoE association; toxicity_profile: lowest cytokine elevation; cytokine_response: minimal cytokine induction, very low hemolytic activity",,,minimal FVII protein reduction even at 0.3 mg/kg,qualitative,,,,1.0
196,"animal_model: apoE-/- mice; administration_route: intravenous; dose: 0.01-0.1 mg/kg siRNA; gene_expression_result: dose-dependent FVII silencing, similar to LNP1.5; biodistribution_result: ASGPR-mediated hepatic targeting",,,"dose-dependent FVII silencing, similar to LNP1.5",qualitative,,,,2.0
197,"animal_model: apoE-/- mice; administration_route: intravenous; dose: 0.01-0.1 mg/kg siRNA; gene_expression_result: dose-dependent FVII silencing, restored efficacy; biodistribution_result: ASGPR-mediated hepatic targeting",,,"dose-dependent FVII silencing, restored efficacy",qualitative,,,,
198,"cell_line: HeLa; animal_model: C57BL/6 mice (female, 18-22 g); administration_route: IV (tail vein); dose: 0.75 mg/kg, 1.5 mg/kg, 2.25 mg/kg; gene_expression_result: ?60 pg luciferase per million B cells at highest dose (2.25 mg/kg); biodistribution_result: >85% of total protein production in spleen; toxicity_profile: negligible toxicity at doses up to 4 mg/kg",,,?60 pg luciferase per million B cells at highest dose (2.25 mg/kg),qualitative,,,,3.0
199,"animal_model: C57BL/6 mice (female, 18-22 g); administration_route: IV (tail vein); dose: 0.75 mg/kg; gene_expression_result: N/A (non-translating mRNA); biodistribution_result: transient transport to liver (>100-fold more fluorescent signal in liver than spleen)",,,N/A (non-translating mRNA),qualitative,,,,
200,"animal_model: C57BL/6 mice (female, 18-22 g); administration_route: IV (tail vein); dose: 0.75 mg/kg; gene_expression_result: predominantly in liver; biodistribution_result: majority of protein expression in liver (non-degradable ionizable lipid control)",,,predominantly in liver,qualitative,,,,
201,"animal_model: C57BL/6 mice (female, 18-22 g); administration_route: IV (tail vein); dose: 0.75 mg/kg; gene_expression_result: N/A (non-translating mRNA); biodistribution_result: transported predominantly to liver",,,N/A (non-translating mRNA),qualitative,,,,
204,"cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid (barcoding), 0.1 mg/kg FLuc mRNA (validation); gene_expression_result: Top lung-targeting candidate; biodistribution_result: Lung-specific enrichment; toxicity_profile: Cell viability >85%",,,Top lung-targeting candidate,qualitative,,,,2.0
205,"cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid (barcoding), 0.1 mg/kg FLuc mRNA (validation); gene_expression_result: Top lung-targeting candidate; biodistribution_result: Lung-specific enrichment; toxicity_profile: Cell viability >85%",,,Top lung-targeting candidate,qualitative,,,,2.0
210,"cell_line: HeLa; animal_model: C57BL/6J female mice, Ai14 mice, LLC-GFP lung tumor model; administration_route: intravenous (IV); dose: 1.0 mg/kg (barcoding), 0.1 mg/kg FLuc mRNA (validation), 0.3 mg/kg Cre mRNA, 4.0 mg/kg Cas9 mRNA/VEGFR2 sgRNA; gene_expression_result: Top performing LNP for pulmonary delivery - ~90% of total luminescence in lungs, ~60% tdTomato+ endothelial cells; biodistribution_result: Preferential lung accumulation with depletion from liver and spleen; toxicity_profile: Cell viability >85%, minimal in vivo toxicity in tissue histology",,,"Top performing LNP for pulmonary delivery - ~90% of total luminescence in lungs, ~60% tdTomato+ endothelial cells",percentage,90.0,,,3.0
211,"cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid (barcoding), 0.1 mg/kg FLuc mRNA (validation); gene_expression_result: Top lung-targeting candidate; biodistribution_result: Lung-specific enrichment; toxicity_profile: Cell viability >85%",,,Top lung-targeting candidate,qualitative,,,,2.0
221,"cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid, 0.25 mg/kg FLuc mRNA (validation); gene_expression_result: Liver-targeting LNP; biodistribution_result: Liver-enriched delivery; toxicity_profile: Cell viability >85%",,,Liver-targeting LNP,qualitative,,,,2.0
225,cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid; gene_expression_result: Greatest enrichment in lungs but also enriched in liver and spleen; biodistribution_result: High lung enrichment but not lung-specific; toxicity_profile: Cell viability >85%,,,Greatest enrichment in lungs but also enriched in liver and spleen,qualitative,,,,
226,"animal_model: Ai14 mice, LLC-GFP lung tumor model; administration_route: intravenous (IV); dose: 0.3 mg/kg Cre mRNA, 4.0 mg/kg Cas9 mRNA/VEGFR2 sgRNA; gene_expression_result: Gold standard lung-tropic LNP control, lower performance than LNP-CAD9; biodistribution_result: Lung-targeted delivery",,,"Gold standard lung-tropic LNP control, lower performance than LNP-CAD9",qualitative,,,,1.0
258,cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid; gene_expression_result: Greatest enrichment in lungs but also enriched in liver and spleen; biodistribution_result: High lung enrichment but not lung-specific; toxicity_profile: Cell viability >85%,,,Greatest enrichment in lungs but also enriched in liver and spleen,qualitative,,,,
275,"cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid; gene_expression_result: Spleen-enriched delivery; biodistribution_result: Measured by deep sequencing in heart, liver, spleen, lungs, kidneys; toxicity_profile: Cell viability >85%",,,Spleen-enriched delivery,qualitative,,,,
297,"cell_line: HeLa; animal_model: C57BL/6J female mice; administration_route: intravenous (IV); dose: 1.0 mg/kg total nucleic acid; gene_expression_result: Liver-enriched delivery; biodistribution_result: Measured by deep sequencing in heart, liver, spleen, lungs, kidneys; toxicity_profile: Cell viability >85%",,,Liver-enriched delivery,qualitative,,,,
340,animal_model: C57BL/6 mice; administration_route: IV (tail vein); dose: 0.4 Â¥Ã¬g per b-DNA; 0.2 mg kg?Â©Ã¶ mRNA (luciferase study); 5 Â¥Ã¬g siRNA (Cy3-siRNA study); gene_expression_result: Luciferase: ~7Â¡Â¿10? p/sec/cmÂ©Ã·/sr liver bioluminescence; 2-fold higher mRNA delivery to liver vs LNP90; 3-fold higher liver transfection vs LNP90; biodistribution_result: Preferential liver accumulation; DOPE-containing LNPs accumulated significantly higher in liver compared to DSPC-containing LNPs (****P < 0.0001); Lower spleen accumulation compared to DSPC-containing LNPs; Stronger ApoE interaction (-350 Hz QCM-D frequency shift),,,Luciferase: ~7Â¡Â¿10? p/sec/cmÂ©Ã·/sr liver bioluminescence,qualitative,,,,
388,animal_model: C57BL/6 mice; administration_route: IV (tail vein); dose: 0.4 Â¥Ã¬g per b-DNA; 0.2 mg kg?Â©Ã¶ mRNA (luciferase study); 5 Â¥Ã¬g siRNA (Cy3-siRNA study); gene_expression_result: Luciferase: ~2Â¡Â¿10^-9 p/sec/cmÂ©Ã·/sr liver bioluminescence; 5-fold higher mRNA delivery to spleen vs LNP42; 2-fold higher Cy3-siRNA delivery to spleen vs LNP42; biodistribution_result: Preferential spleen accumulation; DSPC-containing LNPs accumulated significantly higher in spleen compared to DOPE-containing LNPs (**P = 0.0027); Lower liver accumulation compared to DOPE-containing LNPs; Weaker ApoE interaction (-200 Hz QCM-D frequency shift),,,Luciferase: ~2Â¡Â¿10^-9 p/sec/cmÂ©Ã·/sr liver bioluminescence,qualitative,,,,
443,"cell_line: HeLa cells expressing firefly and Renilla luciferase; dose: 50 ng per well; gene_expression_result: ~95% knockdown (No ApoE), ~95% knockdown (with ApoE); toxicity_profile: minimal toxicity observed",,,"~95% knockdown (No ApoE), ~95% knockdown (with ApoE)",percentage,95.0,,,3.0
444,"cell_line: HeLa cells; dose: 50 ng per well; gene_expression_result: ~2Â¡Â¿10^6 RLU (No ApoE), ~5Â¡Â¿10^6 RLU (with ApoE); toxicity_profile: minimal toxicity observed",,,"~2Â¡Â¿10^6 RLU (No ApoE), ~5Â¡Â¿10^6 RLU (with ApoE)",RLU,6.0,,,0.0
445,"cell_line: HeLa cells expressing firefly and Renilla luciferase; dose: 50 ng per well; gene_expression_result: ~100% knockdown (No ApoE), ~100% knockdown (with ApoE); toxicity_profile: minimal toxicity observed",,,"~100% knockdown (No ApoE), ~100% knockdown (with ApoE)",percentage,100.0,,,3.0
446,"cell_line: HeLa cells; animal_model: female C57BL/6 mice; administration_route: IV (tail vein injection); dose: 0.75 mg/kg; gene_expression_result: ~6Â¡Â¿10^6 RLU (No ApoE), ~8Â¡Â¿10^6 RLU (with ApoE); biodistribution_result: >85% luminescence in spleen, minimal in liver and other organs",,,"~6Â¡Â¿10^6 RLU (No ApoE), ~8Â¡Â¿10^6 RLU (with ApoE)",RLU,6.0,,,0.0
462,cell_line: bEnd.3; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.25 Â¥Ã¬g b-mRNA per formulation; gene_expression_result: Higher luciferase expression compared to F01; biodistribution_result: Higher delivery to liver and spleen compared to F01,,,Higher luciferase expression compared to F01,qualitative,,,,3.0
463,"cell_line: bEnd.3; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.25 Â¥Ã¬g b-mRNA per formulation; gene_expression_result: High delivery to most tissues; biodistribution_result: Higher b-mRNA delivery to liver, spleen, brain, heart, kidney, and pancreas",,,High delivery to most tissues,qualitative,,,,3.0
